sample_name	virus	seqlen	mapped	chim_reads	n_bases_covered	frac_covered	tumor_or_normal	tissue_id	DOI	sample_read_count	mapped_rpm
IC204	HPV68	7822	4	0	458	0.059	Tumor	Cervical	10.1038/s41416-020-01153-4	32855	121.747070461117
IC204	HPV39	7833	4	0	369	0.047	Tumor	Cervical	10.1038/s41416-020-01153-4	32855	121.747070461117
IC300	HPV16	7906	570	0	7907	1	Tumor	Cervical	10.1038/s41416-020-01153-4	47358	12035.9812492082
IC300	HPV56	7845	145	0	7283	0.928	Tumor	Cervical	10.1038/s41416-020-01153-4	47358	3061.78470374594
IC300	HPV18	7857	15	0	1899	0.242	Tumor	Cervical	10.1038/s41416-020-01153-4	47358	316.736348663373
IC300	HPV73	7700	4	0	577	0.075	Tumor	Cervical	10.1038/s41416-020-01153-4	47358	84.4630263102327
IC008	HPV16	7906	405189	145	7907	1	Tumor	Anal	10.3390/cancers11121846	486933	832124.748168639
IC008	HPV52	7942	61	0	4297	0.541	Tumor	Anal	10.3390/cancers11121846	486933	125.273908320036
IC008	HPV31	7912	12	0	1175	0.149	Tumor	Anal	10.3390/cancers11121846	486933	24.6440475383677
IC008	HPV18	7857	2	0	202	0.026	Tumor	Anal	10.3390/cancers11121846	486933	4.10734125639462
IC008	HPV45	7858	2	0	159	0.02	Tumor	Anal	10.3390/cancers11121846	486933	4.10734125639462
IC271	HPV16	7906	2906	7	7907	1	Tumor	Cervical	10.1038/s41416-020-01153-4	453073	6413.97743851432
IC271	HPV52	7942	576979	921	7931	0.999	Tumor	Cervical	10.1038/s41416-020-01153-4	453073	1273479.10822318
IC271	HPV59	7896	350	0	7653	0.969	Tumor	Cervical	10.1038/s41416-020-01153-4	453073	772.502444418449
IC271	HPV42	7917	79	0	5547	0.701	Tumor	Cervical	10.1038/s41416-020-01153-4	453073	174.36483745445
IC271	HPV31	7912	24	0	2199	0.278	Tumor	Cervical	10.1038/s41416-020-01153-4	453073	52.9715961886937
IC271	HPV33	7909	26	0	1923	0.243	Tumor	Cervical	10.1038/s41416-020-01153-4	453073	57.3858958710848
IC271	HPV45	7858	18	0	1643	0.209	Tumor	Cervical	10.1038/s41416-020-01153-4	453073	39.7286971415202
IC271	HPV73	7700	15	0	1114	0.145	Tumor	Cervical	10.1038/s41416-020-01153-4	453073	33.1072476179335
IC179	HPV16	7906	1024269	2945	7907	1	Tumor	Cervical	10.1038/s41416-020-01153-4	1040364	984529.453152935
IC179	HPV82	7870	142	0	6613	0.84	Tumor	Cervical	10.1038/s41416-020-01153-4	1040364	136.490689797033
IC179	HPV33	7909	80	0	4434	0.561	Tumor	Cervical	10.1038/s41416-020-01153-4	1040364	76.8961632659339
IC179	HPV54	7759	18	0	1450	0.187	Tumor	Cervical	10.1038/s41416-020-01153-4	1040364	17.3016367348351
IC179	HPV45	7858	13	0	1394	0.177	Tumor	Cervical	10.1038/s41416-020-01153-4	1040364	12.4956265307143
IC326	HPV18	7857	1677	0	7858	1	Tumor	Cervical	10.1038/s41416-020-01153-4	509768	3289.73179956372
IC326	HPV16	7906	630376	1628	7907	1	Tumor	Cervical	10.1038/s41416-020-01153-4	509768	1236593.90153952
IC326	HPV33	7909	22	0	2242	0.283	Tumor	Cervical	10.1038/s41416-020-01153-4	509768	43.1568870545032
IC326	HPV73	7700	16	0	1816	0.236	Tumor	Cervical	10.1038/s41416-020-01153-4	509768	31.3868269487296
IC326	HPV52	7942	13	0	1300	0.164	Tumor	Cervical	10.1038/s41416-020-01153-4	509768	25.5017968958428
IC326	HPV45	7858	15	0	1199	0.153	Tumor	Cervical	10.1038/s41416-020-01153-4	509768	29.425150264434
IC326	HPV34	7723	2	0	217	0.028	Tumor	Cervical	10.1038/s41416-020-01153-4	509768	3.9233533685912
IC222	HPV16	7906	332	0	7754	0.981	Tumor	Cervical	10.1038/s41416-020-01153-4	39759	8350.31062149451
IC222	HPV45	7858	49	0	3780	0.481	Tumor	Cervical	10.1038/s41416-020-01153-4	39759	1232.42536281094
IC222	HPV59	7896	9817	207	3371	0.427	Tumor	Cervical	10.1038/s41416-020-01153-4	39759	246912.648708469
IC222	HPV33	7909	12	0	1077	0.136	Tumor	Cervical	10.1038/s41416-020-01153-4	39759	301.818456198597
IC222	HPV70	7905	6	0	750	0.095	Tumor	Cervical	10.1038/s41416-020-01153-4	39759	150.909228099298
IC222	HPV18	7857	4	0	524	0.067	Tumor	Cervical	10.1038/s41416-020-01153-4	39759	100.606152066199
IC193	HPV16	7906	192087	438	7907	1	Tumor	Anal	10.3390/cancers11121846	172317	1114730.40965198
IC193	HPV6	7996	8	0	639	0.08	Tumor	Anal	10.3390/cancers11121846	172317	46.4260635921006
IC193	NC_001355_7902nt_Human_papillomavirus_type_6b	7902	4	0	201	0.025	Tumor	Anal	10.3390/cancers11121846	172317	23.2130317960503
IC353	HPV16	7906	1138	0	7907	1	Tumor	Cervical	10.1038/s41416-020-01153-4	35862	31732.753332218
IC353	HPV45	7858	4909	149	4006	0.51	Tumor	Cervical	10.1038/s41416-020-01153-4	35862	136885.840165077
IC353	HPV33	7909	2	0	253	0.032	Tumor	Cervical	10.1038/s41416-020-01153-4	35862	55.7693380179577
IC353	HPV31	7912	2	0	249	0.031	Tumor	Cervical	10.1038/s41416-020-01153-4	35862	55.7693380179577
IC097	HPV16	7906	278885	186	7907	1	Tumor	Cervical	10.1038/s41416-020-01153-4	218255	1277794.32315411
IC097	HPV18	7857	1326	0	7855	1	Tumor	Cervical	10.1038/s41416-020-01153-4	218255	6075.4621887242
IC097	HPV52	7942	34	0	3423	0.431	Tumor	Cervical	10.1038/s41416-020-01153-4	218255	155.781081762159
IC097	HPV73	7700	33	0	3109	0.404	Tumor	Cervical	10.1038/s41416-020-01153-4	218255	151.199285239742
IC097	HPV33	7909	4	0	460	0.058	Tumor	Cervical	10.1038/s41416-020-01153-4	218255	18.3271860896658
IC097	HPV45	7858	2	0	189	0.024	Tumor	Cervical	10.1038/s41416-020-01153-4	218255	9.16359304483288
IC257	HPV16	7906	85255	309	7907	1	Tumor	Anal	10.3390/cancers11121846	73740	1156156.76701926
IC257	HPV6	7996	39	0	3207	0.401	Tumor	Anal	10.3390/cancers11121846	73740	528.885272579333
IC257	NC_001355_7902nt_Human_papillomavirus_type_6b	7902	17	0	1621	0.205	Tumor	Anal	10.3390/cancers11121846	73740	230.539734201248
