Started job on	Started mapping on	Finished on	Mapping speed, Million of reads per hour	Number of input reads	Average input read length	Uniquely mapped reads number	Uniquely mapped reads %	Average mapped length	Number of splices: Total	Number of splices: Annotated (sjdb)	Number of splices: GT/AG	Number of splices: GC/AG	Number of splices: AT/AC	Number of splices: Non-canonical	Mismatch rate per base, %	Deletion rate per base	Deletion average length	Insertion rate per base	Insertion average length	Number of reads mapped to multiple loci	% of reads mapped to multiple loci	Number of reads mapped to too many loci	% of reads mapped to too many loci	Number of reads unmapped: too many mismatches	% of reads unmapped: too many mismatches	Number of reads unmapped: too short	% of reads unmapped: too short	Number of reads unmapped: other	% of reads unmapped: other	Number of chimeric reads	% of chimeric reads
Aug 16 02:48:00	Aug 16 02:55:39	Aug 16 04:17:02	86.52	117353425	202	99679891	84.94%	195.76	62655739	61559688	62049941	473201	67842	64755	0.96%	0.01%	1.47	0.00%	1.58	5355260	4.56%	30550	0.03%	224777	0.19%	12045158	10.26%	17789	0.02%	0	0.00%
Aug 16 02:29:28	Aug 16 02:38:28	Aug 16 03:32:29	95.55	86017741	202	77763568	90.40%	200.06	49145088	48475065	48642351	392406	58144	52187	0.45%	0.01%	1.58	0.01%	1.47	3953049	4.60%	26142	0.03%	46836	0.05%	4214164	4.90%	13982	0.02%	0	0.00%
Aug 16 02:36:47	Aug 16 02:45:50	Aug 16 03:40:44	95.76	87620301	202	77422599	88.36%	199.40	46779011	46242101	46338986	353690	45416	40919	0.71%	0.01%	1.62	0.01%	1.50	2997634	3.42%	20225	0.02%	44977	0.05%	7124860	8.13%	10006	0.01%	0	0.00%
Aug 15 23:58:37	Aug 16 00:06:45	Aug 16 01:29:26	83.00	114376510	202	95091017	83.14%	195.68	61448023	60746894	60882657	438328	63128	63910	1.04%	0.00%	1.54	0.00%	1.61	5513167	4.82%	30604	0.03%	217063	0.19%	13514687	11.82%	9972	0.01%	0	0.00%
Aug 15 23:35:27	Aug 15 23:43:54	Aug 16 00:54:41	85.79	101206696	202	86625488	85.59%	195.82	55410361	54812451	54873453	439792	47226	49890	0.97%	0.00%	1.54	0.01%	1.58	3710889	3.67%	22407	0.02%	203334	0.20%	10632769	10.51%	11809	0.01%	0	0.00%
Aug 16 00:27:16	Aug 16 00:35:04	Aug 16 01:52:10	89.70	115269780	202	97114927	84.25%	195.70	59727733	59019828	59198393	423440	51813	54087	1.01%	0.00%	1.47	0.00%	1.59	3545041	3.08%	28991	0.03%	247393	0.21%	14318117	12.42%	15311	0.01%	0	0.00%
Aug 15 23:22:35	Aug 15 23:30:29	Aug 16 00:46:19	86.83	109739273	202	92106311	83.93%	195.65	57677994	56915645	57084235	489584	54226	49949	1.02%	0.00%	1.44	0.00%	1.60	4455900	4.06%	37585	0.03%	309290	0.28%	12791936	11.66%	38251	0.03%	0	0.00%
Aug 16 00:12:06	Aug 16 00:21:27	Aug 16 01:18:48	93.78	89637643	202	80094021	89.35%	200.03	56296191	55485077	55763134	423746	54904	54407	0.47%	0.01%	1.67	0.01%	1.47	4863722	5.43%	45038	0.05%	41828	0.05%	4560329	5.09%	32705	0.04%	0	0.00%
Aug 15 22:24:05	Aug 15 22:33:03	Aug 15 23:23:17	103.03	86258736	202	77336228	89.66%	199.99	44952457	44075361	44500161	350806	50157	51333	0.52%	0.01%	1.62	0.01%	1.62	2236230	2.59%	20654	0.02%	41219	0.05%	6598921	7.65%	25484	0.03%	0	0.00%
Aug 15 21:51:51	Aug 15 22:02:26	Aug 15 22:47:07	104.27	77650529	202	71189857	91.68%	199.99	41265018	40663705	40867968	310638	43642	42770	0.55%	0.01%	1.70	0.01%	1.57	1931864	2.49%	19526	0.03%	31410	0.04%	4456797	5.74%	21075	0.03%	0	0.00%
