Started job on	Started mapping on	Finished on	Mapping speed, Million of reads per hour	Number of input reads	Average input read length	Uniquely mapped reads number	Uniquely mapped reads %	Average mapped length	Number of splices: Total	Number of splices: Annotated (sjdb)	Number of splices: GT/AG	Number of splices: GC/AG	Number of splices: AT/AC	Number of splices: Non-canonical	Mismatch rate per base, %	Deletion rate per base	Deletion average length	Insertion rate per base	Insertion average length	Number of reads mapped to multiple loci	% of reads mapped to multiple loci	Number of reads mapped to too many loci	% of reads mapped to too many loci	Number of reads unmapped: too many mismatches	% of reads unmapped: too many mismatches	Number of reads unmapped: too short	% of reads unmapped: too short	Number of reads unmapped: other	% of reads unmapped: other	Number of chimeric reads	% of chimeric reads
Jul 30 21:30:31	Jul 30 21:39:55	Jul 30 22:44:26	107.72	115832895	150	89001104	76.84%	148.83	30072944	29089090	29869818	161843	11475	29808	0.65%	0.01%	1.72	0.01%	1.48	11405142	9.85%	106171	0.09%	29427	0.03%	15257823	13.17%	33228	0.03%	0	0.00%
Jul 30 18:50:01	Jul 30 18:58:45	Jul 30 19:59:42	110.99	112748978	150	92138818	81.72%	148.95	33203437	32404046	32980833	173922	11819	36863	0.49%	0.01%	1.54	0.01%	1.50	8055306	7.14%	124464	0.11%	19721	0.02%	12371979	10.97%	38690	0.03%	0	0.00%
Jul 30 20:47:04	Jul 30 20:57:54	Jul 30 21:43:50	114.99	88032875	150	73609786	83.62%	148.91	21695843	21197082	21525521	127339	11734	31249	0.59%	0.01%	1.38	0.01%	1.40	4978437	5.66%	158648	0.18%	34304	0.04%	9213373	10.47%	38327	0.04%	0	0.00%
Jul 30 19:43:26	Jul 30 19:52:57	Jul 30 20:54:14	116.29	118779723	150	102934404	86.66%	149.05	29928882	28983348	29664117	209785	18136	36844	0.51%	0.01%	1.52	0.01%	1.43	7045680	5.93%	85708	0.07%	15668	0.01%	8602953	7.24%	95310	0.08%	0	0.00%
Jul 30 16:38:40	Jul 30 16:48:20	Jul 30 17:38:56	120.93	101982933	150	88547487	86.83%	148.80	29953198	29304933	29721576	179114	17733	34775	0.48%	0.01%	1.46	0.01%	1.34	5744187	5.63%	76037	0.07%	12859	0.01%	7579460	7.43%	22903	0.02%	0	0.00%
Jul 30 19:14:23	Jul 30 19:23:15	Jul 30 20:27:50	127.55	137288093	150	116776821	85.06%	149.05	34205934	33597718	33973071	177927	15096	39840	0.47%	0.01%	1.28	0.01%	1.37	8981502	6.54%	165757	0.12%	44105	0.03%	11277969	8.21%	41939	0.03%	0	0.00%
Jul 30 18:59:01	Jul 30 19:06:04	Jul 30 20:21:07	137.29	171721918	150	145096396	84.49%	149.02	43344021	41969147	42980999	275993	25852	61177	0.38%	0.01%	1.49	0.01%	1.38	9043403	5.27%	202990	0.12%	24755	0.01%	17238950	10.04%	115424	0.07%	0	0.00%
Jul 30 19:51:17	Jul 30 20:00:35	Jul 30 21:02:00	111.30	113928969	150	89815778	78.83%	148.67	38794403	38130495	38560048	174329	16814	43212	0.74%	0.00%	1.48	0.00%	1.41	8523367	7.48%	168384	0.15%	22201	0.02%	15384994	13.50%	14245	0.01%	0	0.00%
Jul 30 17:53:20	Jul 30 18:02:34	Jul 30 19:08:43	115.51	127345993	150	105301214	82.69%	148.95	31804853	31210634	31570908	174004	20974	38967	0.49%	0.01%	1.63	0.01%	1.45	10058628	7.90%	174363	0.14%	21509	0.02%	11737121	9.22%	53158	0.04%	0	0.00%
Jul 30 21:02:56	Jul 30 21:11:49	Jul 30 22:20:28	106.62	121992337	150	95753258	78.49%	148.89	36161145	35483994	35966914	148757	14269	31205	0.58%	0.00%	1.40	0.00%	1.36	13136045	10.77%	62270	0.05%	16394	0.01%	13004089	10.66%	20281	0.02%	0	0.00%
Jul 30 19:30:48	Jul 30 19:35:30	Jul 30 21:30:21	88.47	169350340	200	132801824	78.42%	198.05	55469992	54574669	55044068	274757	31815	119352	0.76%	0.02%	1.21	0.01%	1.59	6756977	3.99%	46160	0.03%	396036	0.23%	29329424	17.32%	19919	0.01%	0	0.00%
Jul 30 18:16:42	Jul 30 18:26:47	Jul 30 19:37:59	97.93	116204913	150	94263039	81.12%	148.92	39228035	38662799	38947787	200375	25273	54600	0.51%	0.01%	1.38	0.00%	1.44	11637445	10.01%	78190	0.07%	16105	0.01%	10195647	8.77%	14487	0.01%	0	0.00%
Jul 30 20:10:22	Jul 30 20:18:56	Jul 30 21:17:49	127.10	124737231	150	110319943	88.44%	148.98	36856834	35906734	36546955	239207	21469	49203	0.44%	0.01%	1.66	0.01%	1.39	6263266	5.02%	77932	0.06%	13351	0.01%	8003380	6.42%	59359	0.05%	0	0.00%
Jul 30 20:42:11	Jul 30 20:47:43	Jul 30 22:27:16	120.66	200199800	150	142600517	71.23%	148.39	55020086	54228087	54626437	300847	29923	62879	0.91%	0.01%	1.46	0.01%	1.40	10460698	5.23%	126624	0.06%	53067	0.03%	46870635	23.41%	88259	0.04%	0	0.00%
Jul 30 17:47:22	Jul 30 17:56:57	Jul 30 18:56:49	112.39	112138712	150	95533153	85.19%	148.95	32519196	31603100	32246643	199750	17052	55751	0.53%	0.01%	1.54	0.01%	1.51	8259335	7.37%	98271	0.09%	24865	0.02%	8145054	7.26%	78034	0.07%	0	0.00%
Jul 30 21:30:38	Jul 30 21:38:15	Jul 30 22:53:41	114.13	143489233	150	109406668	76.25%	148.64	35799721	35121433	35515203	205202	25542	53774	0.77%	0.01%	1.58	0.01%	1.52	9596276	6.69%	431791	0.30%	51958	0.04%	23924930	16.67%	77610	0.05%	0	0.00%
Jul 30 16:20:10	Jul 30 16:36:12	Jul 30 17:08:00	79.50	42135628	197	35991226	85.42%	197.27	7016597	6855749	6947255	57106	6068	6168	0.32%	0.01%	1.31	0.01%	1.59	5044104	11.97%	96930	0.23%	32555	0.08%	941276	2.23%	29537	0.07%	0	0.00%
Jul 30 15:23:29	Jul 30 15:39:05	Jul 30 16:20:14	81.85	56134281	200	48544283	86.48%	198.58	11944685	11683942	11830734	91633	10235	12083	0.37%	0.01%	1.40	0.01%	1.56	5631719	10.03%	110374	0.20%	51686	0.09%	1765600	3.15%	30619	0.05%	0	0.00%
